Author,Sample,Country,N,IV,DV ,Ivmeasure,Dvmeasure,r.xx,r.yy,Numerical data,r,Effect of exposure,Design,Stress,Exposure,Notes,Link to Article,other
Ashraf & Nassar (2018),American Muslims,USA,109,Exposure to other peoles trauma,VT (measured by TABS 84 item scale),,,,,"Pillai-Bartlett V= 0.03, F(6, 89)= 0.52, p= 0.79",,Y,Correlational,VT,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,107,Wives of POW not second generation holocaust vs Wives of Prisoners of war also second genration holocaust,Interest age,,,,,"F[1,107] = 6.13, p = .01",0.23,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of second generation holocaust vs not in full sample,Interest age,,,,,"F[1,158] = .42, p = .52",0.05,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of prisoners of war vs Wives not of Prisoners of war,Interest age,,,,,"F[1,158] = 1.05, p = .31",0.08,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Felt age,,,,,"F[1,162] = 2.38, p = .13",0.12,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Felt age,,,,,"F[1,162] = .34, p = .56",0.04,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Felt age,,,,,"F[1,162] = .06, p = .81",0.03,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Age appearance,,,,,"F[1,162] = 3.79, p = .05",0.15,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Age appearance,,,,,"F[1,162] = 3.29, p = .07",0.14,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Age appearance,,,,,"F [1,162] = .00, p = .99",0,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Behaviour age,,,,,"F[1,160] = 2.23, p = .14",0.12,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Behaviour age,,,,,"F[1,160] = .04, p = .85",0.02,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Behaviour age,,,,,"F[1,160] = 3.41, p = .07",0.23,Y,Correlational,NA,IN,,,
Badger et al. (2014),Social workers,USA,121,Years of work,STSS (Secondary traumatic stress scale - Figley 2004),,,,,,-0.19,Y,Correlational,STS,LT,,,
Badger et al. (2014),Social workers,USA,121,Occupational stress (Work related strain inventory),STSS (Secondary traumatic stress scale - Figley 2004),,,,,,0.6,Y,Correlational,STS,ST,,,
Bhutani et al. (2012),Therapists,India,60,Hours of work per day,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bhutani et al. (2012),Therapists,India,60,Number of patients per day,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bhutani et al. (2012),Therapists,India,60,Number of emrgency wake ups per Month,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bober & Regehr (2005),"Caregivers(social workers, doctors and nurses)",Canada,259,Hours per week,STS (IES-Impact of events scale Zilberg(1982)),,,,,,0.25,Y,Correlational,STS,ST,,,
Bober & Regehr (2005),"Caregivers(social workers, doctors and nurses)",Canada,259,Hours per week with heavily traumatized,STS (IES-Impact of events scale Zilberg(1982)),,,,,,0.31,Y,Correlational,STS,ST,,,
Burruss et al. (2017),Investigators into child pornography/exploitaion crimes,USA,360,"Hours per week spent reviewing evidence against the crimes (videos, images emails etc.)",STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,b=2.042 s.e.=0.509 beta=0.221,0.221,Y,Correlational,STS,ST,Exposure is not listening but rather reading/images/videos,,
Choi et al. (2011),Social workers,USA,154,Hours per week with providing services to trauma cases),STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,B=.082 SE=.066 beta=.095,0.095,Y,Correlational,STS,ST,,,
Choi et al. (2011),Social workers,USA,154,Years of experience,STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,B=−0.006 SE=0.126 beta=−0.006,-0.006,Y,Correlational,STS,LT,,,
Cosden et al. (2016),Counselors,USA,51,Years of experience,STS (IES-Impact of events scale Zilberg(1982) - revised),,,,,B=0.11 SE=0.56 beta=0.04,0.04,Y,Correlational,STS,LT,,,
Coyne (1976),Randomly selected,USA,45,Depression score of person being talked with (MAACL - Zuckerman (1965)- multiple affect abjective checklist),Depression of listener  (MAACL - Zuckerman (1965)),,,,,,0.5,Y,Experimental,NA,IN,,,
Coyne (1976),Randomly selected,USA,45,Depression score of person being talked with (MAACL - Zuckerman (1965)),Anxiety of listener  (MAACL - Zuckerman (1965)),,,,,,0.643,Y,Experimental,NA,IN,,,
Coyne (1976),Randomly selected,USA,45,Anxiety score of person being talked with  (MAACL - Zuckerman (1965)),Depression of listener (MAACL - Zuckerman (1965)),,,,,,0.354,Y,Experimental,NA,IN,,,
Coyne (1976),Randomly selected,USA,45,Anxiety score of person being talked with  (MAACL - Zuckerman (1965)),Anxiety of listener (MAACL - Zuckerman (1965)),,,,,,0.454,Y,Experimental,NA,IN,,,
Coyne et al. (1987),People living with/without a depressed person,USA,65,Living with currently depressed person,Psychoogical distress (HSCL-25),,,,,t(63) = 2.72,0.32,Y,Correlational,NA,ST,Living with not listneing to specifically,,
Cunningham (2003),Therapists,USA,174,Treating sexual abuse vs treating cancer,self-safety - subscale ofTSIBS,,,,,"[F(2, 160) = 3.24, p = .04 (n=32-sexual, other-142)",NA,Y,Correlational,NA,IN,,,
Cunningham (2003),Therapists,USA,121,Treating sexual abuse vs treating cancer,other-trust- subscale ofTSIBS,,,,,"t = 1.98, df = 48",0.15,Y,Correlational,NA,IN,,,
Cunningham (2003),Therapists,USA,121,Treating sexual abuse vs treating cancer,other-esteem- subscale ofTSIBS,,,,,"t = 2.27, df = 45",0.17,Y,Correlational,NA,IN,,,
Dagan et al. (2015),Social workers,Isarel,217,"Percentage of cases that were trauma survivors, exposure to content and precieved caseload (hommade questionnaire)",STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,,0.22,Y,Correlational,STS,IN,,,
Devilly et al. (2009),Mental Health professionals,Australia,78,Low vs High trauma caseload,VT (TSI-BSL-Traumatic stress institute belief scale),,,,,"F(1,73) = 3.41",0.2,Y,Correlational,VT,IN,,,
Devilly et al. (2009),Mental Health professionals,Australia,78,Low vs High trauma caseload,STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,"F(1,73) = 2.21",0.17,Y,Correlational,STS,IN,,,
Dworkin et al. (2014),Rape crisis center personnel,USA,164,Number of years,STS -  Posttraumatic Checklist–Civilian Version (PCL-C),,,,,,-0.06,Y,Correlational,STS,LT,,,
Dworkin et al. (2014),Rape crisis center personnel,USA,164,Caseload (Victims met per week),STS -  Posttraumatic Checklist–Civilian Version (PCL-C),,,,,,0.06,Y,Correlational,STS,ST,,,
Dworznik (2018),Media reporters,USA,70,Encounters with trauma victims (days a week interviewing victims of trauma),CF scale short (Figley 2004),,,,,,-0.056,Y,Correlational,NA,ST,Interviewing trauma victims,,
Dworznik (2018),Media reporters,USA,70,Encounters with trauma victims (days a week interviewing victims of trauma),STS part of CF scale short (Figley 2004),,,,,,0.029,Y,Correlational,STS,ST,Interviewing trauma victims,,
Dworznik (2018),Media reporters,USA,70,Encounters with trauma victims (days a week interviewing victims of trauma),BO part of CF scale short (Figley 2004),,,,,,-0.105,Y,Correlational,BO,ST,Interviewing trauma victims,,
Dworznik (2018),Media reporters,USA,70,Encounters with traumatic scenes (average days a week covering traumatic stories),CF scale short (Figley 2004),,,,,,0.138,Y,Correlational,NA,ST,Covering traumatic cases,,
Dworznik (2018),Media reporters,USA,70,Encounters with traumatic scenes (average days a week covering traumatic stories),STS part of CF scale short (Figley 2004),,,,,,0.212,Y,Correlational,STS,ST,Covering traumatic cases,,
Dworznik (2018),Media reporters,USA,70,Encounters with traumatic scenes (average days a week covering traumatic stories),BO part of CF scale short (Figley 2004),,,,,,0.05,Y,Correlational,BO,ST,Covering traumatic cases,,
Ennis & Horne (2003),Therapists,USA and Canada,59,Number of sex offender contact hours per week,Psychoogical distress (king 1985),,,,,"F(4, 53) = 4.83, R^2=0.27, beta =0.1. Other betas=.06,-0.25,-0.36",0.1,Y,Correlational,NA,ST,Listening to offender not victim,,
Eriksson et al. (2001),Humanitarian aid providers,Oversees,113,Vicarious exposure to life threat - witnessing or knowing someone who had trauma,PTSD symptoms LASC - king 1985,,,,,B=1.28 SE(B)=0.57 beta=0.55,0.55,Y,Correlational,NA,IN,Witnessing or knowing someone who experienced a traumatic event not necessary listening,,
Farber & Heifetz (1981),Therapists,USA,39,New therapists (1-4 yrs) vs experienced (4-10),Personal Depletion (Home made scale),,,,,t(37) = 3.12,0.46,Y,Correlational,NA,LT,Assumed n1=n2,,
Farber & Heifetz (1981),Therapists,USA,36,New therapists (1-4 yrs) vs veteran therapists (11+ yrs),Personal Depletion (Home made scale),,,,,t(34) = 3.64,0.53,Y,Correlational,NA,LT,Assumed n1=n2,,
Finkelstien et al. (2015),Therapists,Israel,99,Professional exposure to trauma,PTSDI (solomon 1994),,,,,"F(8, 82) = 8.029 beta = 0.15",0.15,Y,Correlational,NA,ST,,,
Finkelstien et al. (2015),Therapists,Israel,99,Professional exposure to trauma,CFQ (Figley 1995),,,,,"F(8, 82) = 9.123 beta =0.222",0.222,Y,Correlational,NA,ST,,,
Foreman (2018),Therapists,USA,68,percent of clients on a counselor's caseload with a reported history of trauma,"Five Factor Wellness Inventory (5F-Wel; Myers & Sweeney, 2014)",,,,,"F(1,66)=1.189",0.42,Y,Correlational,NA,IN,,,
Foreman (2018),Therapists,USA,68,percent of clients on a counselor's caseload with a reported history of trauma (+wellness),"Trauma and Attachment Belief Scale (TABS; Pearlman, 2003)",,,,,"R^2 = 0.443, F(2, 65) = 25.85, B=.111 SE=.105 beta=.099 t=1.063 (SFWell B=-3.138 SE(B)=.454 beta=-.645 t=-6.907 )",0.099,Y,Correlational,NA,IN,,,
Gil & Weinberg (2015),Therapists,Israel,160,Number of clients who are trauma survivors,"ST -  PTSD Symptom Scale-Self Report (PSS-SR)=(Foa et al., 1993)",,,,,,0.34,Y,Correlational,STS,IN,,,
Gil & Weinberg (2015),Therapists,Israel,160,Percieved level of exposure to traumatic content,"ST -  PTSD Symptom Scale-Self Report (PSS-SR)=(Foa et al., 1993)",,,,,,0.27,Y,Correlational,STS,IN,,,
Hammen & Peters (1978),Students,USA,63,Talking to a person playing the role of a depressed person/non depressed person,"Wessman-Ricks 10-point elation-depression scale (Wessman & Ricks, 1966)",,,,,"F(1, 55) = 3.94",0.24,Y,Experimental,NA,ST,,,
Hammen & Peters (1978),Students,USA,63,Talking to a person playing the role of a depressed person/non depressed person,"Depression Adjective Check List (Lubin, 196S)",,,,,"F (1, 55) = 2.76",0.2,Y,Experimental,NA,ST,,,
Howes et al. (1985),Students,USA,16,"Students BDI was measured and their roomate BDI was measured, the analysis is of people paired with non-depressed, depressed and depressed->non-depressed people.",Beck Depression Inventory,,,,,"F(2, 41)=9.71",0.57,Y,Correlational,NA,IN,Living with not necessarily listening to,,
Howes et al. (1985),Students,USA,30,"Interaction of 3 groups(depressed, nondepressed, started depressed and got better) and time 1, 5 and 11 weeks",Beck Depression Inventory,,,,,"F(4,82) = 7.07",0.62,Y,Correlational,NA,IN,Living with not necessarily listening to,,
King & Heller (1984),Students,USA,45,20 minute phone conversation with dpressed patient vs nondepressed patient vs nondepressed nonpatient,"Depression of person, MAACL (Zuckerman & Lubm, 1965)",,,,,"After convo with distressed: m=8.6 sd=5.91, nondistressed patient: m=11.4 sd=6.78, nondistressed nonpatient: m=10.93 sd=7.27.",-0.215,Y,Experimental,NA,IN,,,
King & Heller (1984),Students,USA,45,20 minute phone conversation with dpressed patient vs nondepressed patient vs nondepressed nonpatient,"Anxiety of person, MAACL (Zuckerman & Lubm, 1965)",,,,,"After convo with distressed(n=15): m=4.93 sd=4.5, nondistressed patient(n=15): m=6.6 sd=3.98, nondistressed nonpatient(n=15): m=7.00 sd=4.31.",-0.1929,Y,Experimental,NA,IN,,,
Makadia et al. (2016),Clinical psychologist trainess,UK,544,Exposure to trauma work,STSS (Secondary traumatic stress scale - Figley 2004),,,,,,0.2,Y,Correlational,STS,ST,These 2 on same population slightly diferent things measured,,
Makadia et al. (2016),Clinical psychologist trainess,UK,544,Exposure to trauma work,"Trauma and Attachment Belief Scale (TABS; Pearlman, 2003)",,,,,,-0.03,Y,Correlational,NA,ST,,,
Meffert et al. (2014),Partners of police officers,USA,71,Officer Exposure Officer Report on Critical Incident History Questionnaire (CIHQ,Modified Secondary Traumatic Stress Questionnaire (MSTQ),,,,,"beta =-0.15, 95% CI=[-0.37, .08] ",-0.15,Y,Correlational,STS,ST,"Living with the person, not listening",,
Meffert et al. (2014),Partners of police officers,USA,71,Officer Exposure Spouse Report on Critical Incident History Questionnaire (CIHQ,Modified Secondary Traumatic Stress Questionnaire (MSTQ),,,,,"beta=0.04, 95% CI=[-0.01, .08]",0.04,Y,Correlational,STS,ST,"Living with the person, not listening",,
